状态,国家, 媒体名称,更新情况,更新率     ,媒体网址,是否可访问,2025-11-10近30天是否更新,可能原因
✗,Brunei Darussalam,Borneo Bulletin,0/4,0.0%,https://borneobulletin.com.bn/,1,1,claudflare人机校验
✗,Brunei Darussalam,Brunei Direct,0/19,0.0%,https://www.brudirect.com/,1,1,
✗,Brunei Darussalam,Media Permata,0/6,0.0%,https://mediapermata.com.bn/,1,1,claudflare人机校验
✗,Cambodia,Cam News,0/4,0.0%,http://www.camnews.org/,1,0,最后一次更新为5个月前
✗,Cambodia,Khmer Times,0/8,0.0%,https://www.khmertimeskh.com/,1,1,claudflare人机校验
✗,Cambodia,The Phnom Penh Post,0/9,0.0%,https://www.phnompenhpost.com/,1,1,claudflare人机校验
✗,Cambodia,金边晚报,0/2,0.0%,http://www.jinbianwanbao.cn/,1,1,
✗,Indonesia,Indopos,0/8,0.0%,https://indopos.co.id/,1,1,""
✗,Indonesia,Investor Daily,0/20,0.0%,https://investor.id/,1,1,""
✗,Indonesia,Jakarta Globe,0/3,0.0%,https://jakartaglobe.id/,1,1,""
✗,Indonesia,Jawa Pos,0/9,0.0%,https://www.jawapos.com/,1,1,
✗,Indonesia,Kompas.com,0/8,0.0%,https://www.kompas.com/,1,1,""
✗,Indonesia,Koran Sindo,0/5,0.0%,https://www.sindonews.com/,1,1,
✗,Indonesia,Suara Karya,0/10,0.0%,https://www.suarakarya.id/,1,1,
✗,Indonesia,Suara Pembaruan,0/21,0.0%,https://www.beritasatu.com/,1,1,""
✗,Laos,Pasaxon,0/6,0.0%,http://www.pasaxon.org.la/,1,1,
✗,Malaysia,Harakah,0/3,0.0%,https://harakahdaily.net/,1,1,claudflare人机校验
✗,Malaysia,Malaysia Chronicle,0/4,0.0%,https://www.malaysia-chronicle.com/,1,0,最后一次更新：2024-5-26
✗,Malaysia,New Sarawak Tribune,0/5,0.0%,https://www.newsarawaktribune.com.my/,1,1,
✗,Malaysia,The Edge,0/5,0.0%,https://www.theedgemarkets.com/,1,1,
✗,Malaysia,东方日报,0/10,0.0%,https://www.orientaldaily.com.my/,1,1,
✗,Malaysia,华侨日报,0/6,0.0%,http://www.ocdn.com.my/index.cfm,1,1,
✗,Malaysia,诗华日报,0/7,0.0%,http://news.seehua.com/,1,1,
✗,Myanmar,Kachin News (English),0/3,0.0%,https://kachinnews.com/,1,0,最后一次更新：2025-5-19
